Frequency (MHz),Amplitude Min(mW),Amplitude Max(mW)
656.025347,1.01848e-010,1.01848e-010
656.032943,1.16524e-010,1.16524e-010
656.040538,1.33989e-010,1.33989e-010
656.048134,1.63516e-010,1.63516e-010
656.055729,1.50005e-010,1.50005e-010
656.063325,1.63736e-010,1.63736e-010
656.07092,8.49026e-011,8.49026e-011
656.078516,2.7088e-011,2.7088e-011
656.086111,1.42368e-011,1.42368e-011
656.093707,2.78632e-011,2.78632e-011
656.101302,1.30912e-011,1.30912e-011
656.108898,3.92015e-014,3.92015e-014
656.116493,2.29307e-012,2.29307e-012
656.124089,3.42039e-012,3.42039e-012
656.131684,2.0054e-012,2.0054e-012
656.13928,9.448e-012,9.448e-012
656.146875,1.00091e-011,1.00091e-011
656.15447,9.06712e-012,9.06712e-012
656.162066,1.39938e-011,1.39938e-011
656.169661,1.89064e-011,1.89064e-011
656.177257,2.51272e-011,2.51272e-011
656.184852,7.80314e-011,7.80314e-011
656.192448,5.47357e-011,5.47357e-011
656.200043,2.97695e-011,2.97695e-011
656.207639,4.56791e-011,4.56791e-011
656.215234,4.65049e-011,4.65049e-011
656.22283,4.02674e-011,4.02674e-011
656.230425,3.50367e-011,3.50367e-011
656.238021,2.83432e-011,2.83432e-011
656.245616,4.14649e-011,4.14649e-011
656.253212,6.21931e-011,6.21931e-011
656.260807,6.8407e-011,6.8407e-011
656.268403,8.23718e-011,8.23718e-011
656.275998,8.30964e-012,8.30964e-012
656.283594,8.73705e-012,8.73705e-012
656.291189,1.05744e-011,1.05744e-011
656.298785,3.56583e-011,3.56583e-011
656.30638,3.57808e-011,3.57808e-011
656.313976,3.42078e-011,3.42078e-011
656.321571,2.34128e-011,2.34128e-011
656.329167,5.10413e-012,5.10413e-012
656.336762,9.72665e-012,9.72665e-012
656.344358,4.47344e-011,4.47344e-011
656.351953,1.47601e-011,1.47601e-011
656.359549,4.75718e-012,4.75718e-012
656.367144,1.88822e-011,1.88822e-011
656.37474,2.45525e-011,2.45525e-011
656.382335,1.42512e-011,1.42512e-011
656.389931,1.63536e-011,1.63536e-011
656.397526,1.37291e-011,1.37291e-011
656.405122,3.0669e-012,3.0669e-012
656.412717,9.93115e-013,9.93115e-013
656.420312,1.05119e-013,1.05119e-013
656.427908,5.98334e-012,5.98334e-012
656.435503,3.23596e-011,3.23596e-011
656.443099,1.05421e-011,1.05421e-011
656.450694,5.55538e-013,5.55538e-013
656.45829,1.56056e-013,1.56056e-013
656.465885,2.86323e-012,2.86323e-012
656.473481,3.20772e-012,3.20772e-012
656.481076,1.02739e-012,1.02739e-012
656.488672,2.33531e-011,2.33531e-011
656.496267,6.40148e-011,6.40148e-011
656.503863,9.95009e-011,9.95009e-011
656.511458,8.2754e-011,8.2754e-011
656.519054,4.77482e-011,4.77482e-011
656.526649,3.95845e-011,3.95845e-011
656.534245,4.98389e-011,4.98389e-011
656.54184,6.405e-011,6.405e-011
656.549436,3.06035e-011,3.06035e-011
656.557031,2.79884e-012,2.79884e-012
656.564627,2.02313e-011,2.02313e-011
656.572222,2.97521e-011,2.97521e-011
656.579818,4.23012e-011,4.23012e-011
656.587413,7.98644e-012,7.98644e-012
656.595009,9.92507e-011,9.92507e-011
656.602604,7.35144e-012,7.35144e-012
656.6102,5.69501e-012,5.69501e-012
656.617795,1.70016e-011,1.70016e-011
656.625391,1.99808e-011,1.99808e-011
656.632986,1.51998e-011,1.51998e-011
656.640582,2.60026e-011,2.60026e-011
656.648177,1.62413e-011,1.62413e-011
656.655773,1.81961e-011,1.81961e-011
656.663368,2.52904e-011,2.52904e-011
656.670964,4.92553e-011,4.92553e-011
656.678559,7.20557e-011,7.20557e-011
656.686154,3.15528e-011,3.15528e-011
656.69375,4.42431e-012,4.42431e-012
656.701345,1.37862e-011,1.37862e-011
656.708941,1.21639e-011,1.21639e-011
656.716536,4.47315e-012,4.47315e-012
656.724132,1.91465e-011,1.91465e-011
656.731727,2.62218e-011,2.62218e-011
656.739323,2.74444e-011,2.74444e-011
656.746918,1.15438e-011,1.15438e-011
656.754514,2.5534e-011,2.5534e-011
656.762109,5.12372e-011,5.12372e-011
656.769705,4.3317e-011,4.3317e-011
656.7773,2.84047e-011,2.84047e-011
656.784896,7.5243e-012,7.5243e-012
656.792491,1.60463e-012,1.60463e-012
656.800087,5.10258e-011,5.10258e-011
656.807682,3.06664e-011,3.06664e-011
656.815278,5.33088e-011,5.33088e-011
656.822873,7.04313e-011,7.04313e-011
656.830469,8.29522e-011,8.29522e-011
656.838064,7.1725e-011,7.1725e-011
656.84566,3.05384e-011,3.05384e-011
656.853255,1.60442e-011,1.60442e-011
656.860851,7.62478e-012,7.62478e-012
656.868446,2.13882e-012,2.13882e-012
656.876042,1.49198e-011,1.49198e-011
656.883637,2.47563e-011,2.47563e-011
656.891233,2.34847e-011,2.34847e-011
656.898828,2.62727e-011,2.62727e-011
656.906424,5.57994e-011,5.57994e-011
656.914019,7.04032e-011,7.04032e-011
656.921615,4.43199e-011,4.43199e-011
656.92921,1.72277e-011,1.72277e-011
656.936806,2.28056e-012,2.28056e-012
656.944401,1.32523e-011,1.32523e-011
