Frequency (MHz),Amplitude Min(mW),Amplitude Max(mW)
1306.90104,5.54358e-012,5.54358e-012
1306.90864,3.8429e-012,3.8429e-012
1306.91623,2.50575e-012,2.50575e-012
1306.92383,1.71202e-012,1.71202e-012
1306.93142,1.55908e-012,1.55908e-012
1306.93902,1.27001e-012,1.27001e-012
1306.94661,1.5481e-012,1.5481e-012
1306.95421,1.57863e-012,1.57863e-012
1306.96181,1.28719e-012,1.28719e-012
1306.9694,4.14765e-012,4.14765e-012
1306.977,4.3488e-012,4.3488e-012
1306.98459,4.40316e-012,4.40316e-012
1306.99219,3.80378e-012,3.80378e-012
1306.99978,2.26691e-012,2.26691e-012
1307.00738,2.33795e-012,2.33795e-012
1307.01497,1.43866e-012,1.43866e-012
1307.02257,1.37104e-012,1.37104e-012
1307.03016,1.1469e-012,1.1469e-012
1307.03776,2.26054e-012,2.26054e-012
1307.04536,4.25223e-012,4.25223e-012
1307.05295,3.87269e-012,3.87269e-012
1307.06055,2.68723e-012,2.68723e-012
1307.06814,1.48601e-012,1.48601e-012
1307.07574,8.39725e-013,8.39725e-013
1307.08333,2.02487e-012,2.02487e-012
1307.09093,3.76586e-012,3.76586e-012
1307.09852,5.52923e-012,5.52923e-012
1307.10612,3.47164e-012,3.47164e-012
1307.11372,5.18043e-012,5.18043e-012
1307.12131,3.03937e-012,3.03937e-012
1307.12891,2.85954e-012,2.85954e-012
1307.1365,3.10116e-012,3.10116e-012
1307.1441,3.63288e-012,3.63288e-012
1307.15169,2.81331e-012,2.81331e-012
1307.15929,2.52421e-012,2.52421e-012
1307.16688,2.90346e-012,2.90346e-012
1307.17448,2.38336e-012,2.38336e-012
1307.18207,2.56405e-012,2.56405e-012
1307.18967,3.25418e-012,3.25418e-012
1307.19727,2.23296e-012,2.23296e-012
1307.20486,2.39244e-012,2.39244e-012
1307.21246,2.06833e-012,2.06833e-012
1307.22005,2.27369e-012,2.27369e-012
1307.22765,2.35804e-012,2.35804e-012
1307.23524,1.74694e-012,1.74694e-012
1307.24284,1.81273e-012,1.81273e-012
1307.25043,1.97072e-012,1.97072e-012
1307.25803,1.77681e-012,1.77681e-012
1307.26563,3.4641e-012,3.4641e-012
1307.27322,2.35877e-012,2.35877e-012
1307.28082,2.88364e-012,2.88364e-012
1307.28841,3.33763e-012,3.33763e-012
1307.29601,6.20857e-012,6.20857e-012
1307.3036,5.98746e-012,5.98746e-012
1307.3112,5.34108e-012,5.34108e-012
1307.31879,2.13356e-012,2.13356e-012
1307.32639,1.09981e-012,1.09981e-012
1307.33398,1.43771e-012,1.43771e-012
1307.34158,2.40959e-012,2.40959e-012
1307.34918,2.45992e-012,2.45992e-012
1307.35677,2.87856e-012,2.87856e-012
1307.36437,4.05759e-012,4.05759e-012
1307.37196,3.26749e-012,3.26749e-012
1307.37956,1.79074e-012,1.79074e-012
1307.38715,1.87346e-012,1.87346e-012
1307.39475,3.72759e-012,3.72759e-012
1307.40234,2.60201e-012,2.60201e-012
1307.40994,2.82651e-012,2.82651e-012
1307.41753,1.76371e-012,1.76371e-012
1307.42513,2.20661e-012,2.20661e-012
1307.43273,1.7546e-012,1.7546e-012
1307.44032,2.22937e-012,2.22937e-012
1307.44792,2.2652e-012,2.2652e-012
1307.45551,1.53316e-012,1.53316e-012
1307.46311,2.17103e-012,2.17103e-012
1307.4707,2.41213e-012,2.41213e-012
1307.4783,2.05638e-012,2.05638e-012
1307.48589,1.91031e-012,1.91031e-012
1307.49349,2.91044e-012,2.91044e-012
1307.50109,4.94644e-012,4.94644e-012
1307.50868,6.10209e-012,6.10209e-012
1307.51628,4.15598e-012,4.15598e-012
1307.52387,2.35668e-012,2.35668e-012
1307.53147,1.79258e-012,1.79258e-012
1307.53906,9.73635e-013,9.73635e-013
1307.54666,2.49403e-012,2.49403e-012
1307.55425,4.5106e-012,4.5106e-012
1307.56185,3.10287e-012,3.10287e-012
1307.56944,2.16183e-012,2.16183e-012
1307.57704,2.39086e-012,2.39086e-012
1307.58464,2.10481e-012,2.10481e-012
1307.59223,2.91933e-012,2.91933e-012
1307.59983,4.72258e-012,4.72258e-012
1307.60742,3.28842e-012,3.28842e-012
1307.61502,4.09122e-012,4.09122e-012
1307.62261,3.74677e-012,3.74677e-012
1307.63021,3.63751e-012,3.63751e-012
1307.6378,9.30272e-013,9.30272e-013
1307.6454,2.38644e-012,2.38644e-012
1307.65299,3.87407e-012,3.87407e-012
1307.66059,4.8322e-012,4.8322e-012
1307.66819,4.7137e-012,4.7137e-012
1307.67578,3.28146e-012,3.28146e-012
1307.68338,3.47352e-012,3.47352e-012
1307.69097,2.27733e-012,2.27733e-012
1307.69857,1.85991e-012,1.85991e-012
1307.70616,2.04199e-012,2.04199e-012
1307.71376,2.03165e-012,2.03165e-012
1307.72135,1.33043e-012,1.33043e-012
1307.72895,7.52551e-013,7.52551e-013
1307.73655,1.11885e-012,1.11885e-012
1307.74414,1.54369e-012,1.54369e-012
1307.75174,1.57427e-012,1.57427e-012
1307.75933,1.38356e-012,1.38356e-012
1307.76693,1.64993e-012,1.64993e-012
1307.77452,1.43178e-012,1.43178e-012
1307.78212,1.20933e-012,1.20933e-012
1307.78971,2.04189e-012,2.04189e-012
1307.79731,2.09451e-012,2.09451e-012
1307.8049,1.31326e-012,1.31326e-012
1307.8125,4.82012e-012,4.82012e-012
1307.8201,3.92098e-012,3.92098e-012
1307.82769,1.98414e-012,1.98414e-012
1307.83529,2.30675e-012,2.30675e-012
1307.84288,3.77575e-012,3.77575e-012
1307.85048,3.08684e-012,3.08684e-012
1307.85807,3.40463e-012,3.40463e-012
1307.86567,2.80956e-012,2.80956e-012
1307.87326,2.93667e-012,2.93667e-012
1307.88086,3.32779e-012,3.32779e-012
1307.88845,3.1031e-012,3.1031e-012
1307.89605,4.74045e-012,4.74045e-012
1307.90365,6.43576e-012,6.43576e-012
1307.91124,3.56961e-012,3.56961e-012
1307.91884,2.60267e-012,2.60267e-012
1307.92643,2.92173e-012,2.92173e-012
1307.93403,2.24271e-012,2.24271e-012
1307.94162,2.66946e-012,2.66946e-012
1307.94922,3.57114e-012,3.57114e-012
1307.95681,3.53048e-012,3.53048e-012
1307.96441,3.08056e-012,3.08056e-012
1307.97201,2.04117e-012,2.04117e-012
1307.9796,1.99881e-012,1.99881e-012
1307.9872,1.28759e-012,1.28759e-012
1307.99479,2.8226e-012,2.8226e-012
