t	signal
s	
	
0,01478	8,73287
0,0148	-0,64213
0,01482	2,35787
0,01484	9,48287
0,01486	2,10787
0,01488	-6,01713
0,0149	8,35787
0,01492	6,60787
0,01494	7,10787
0,01496	2,35787
0,01498	0,10787
0,015	5,10787
0,01502	4,48287
0,01504	0,10787
0,01506	-0,89213
0,01508	-11,14213
0,0151	-12,64213
0,01512	-13,39213
0,01514	-3,76713
0,01516	3,85787
0,01518	1,60787
0,0152	15,10787
0,01522	18,48287
0,01524	20,35787
0,01526	20,73287
0,01528	21,23287
0,0153	12,10787
0,01532	14,10787
0,01534	13,35787
0,01536	7,10787
0,01538	7,98287
0,0154	18,23287
0,01542	20,73287
0,01544	12,98287
0,01546	13,23287
0,01548	9,35787
0,0155	7,60787
0,01552	7,85787
0,01554	-1,76713
0,01556	-7,14213
0,01558	-2,26713
0,0156	-4,26713
0,01562	0,48287
0,01564	4,60787
0,01566	-0,51713
0,01568	-2,76713
0,0157	-4,89213
0,01572	1,10787
0,01574	-18,89213
0,01576	-26,64213
0,01578	-35,39213
0,0158	-26,14213
0,01582	-17,26713
0,01584	-20,26713
0,01586	-16,01713
0,01588	-17,64213
0,0159	-19,26713
0,01592	-16,76713
0,01594	-19,01713
0,01596	-21,26713
0,01598	-15,76713
0,016	-17,51713
0,01602	-15,76713
0,01604	-14,89213
0,01606	-9,26713
0,01608	4,73287
0,0161	11,98287
0,01612	18,73287
0,01614	20,60787
0,01616	11,73287
0,01618	3,85787
0,0162	4,85787
0,01622	3,35787
0,01624	6,73287
0,01626	13,98287
0,01628	17,73287
0,0163	16,35787
0,01632	22,85787
0,01634	20,85787
0,01636	13,73287
0,01638	8,48287
0,0164	11,48287
0,01642	2,60787
0,01644	1,48287
0,01646	-0,51713
0,01648	-1,76713
0,0165	-7,39213
0,01652	-1,51713
0,01654	-7,39213
0,01656	4,35787
0,01658	1,60787
0,0166	-1,39213
0,01662	1,48287
0,01664	0,85787
0,01666	-2,14213
0,01668	-4,89213
0,0167	-7,26713
0,01672	-5,01713
0,01674	0,23287
0,01676	-2,26713
0,01678	-4,64213
0,0168	-13,76713
0,01682	-1,51713
0,01684	1,73287
0,01686	7,23287
0,01688	10,10787
0,0169	21,35787
0,01692	13,85787
0,01694	12,23287
0,01696	21,10787
0,01698	18,23287
0,017	18,60787
0,01702	20,35787
0,01704	23,73287
0,01706	20,48287
0,01708	21,35787
0,0171	25,60787
0,01712	13,60787
0,01714	12,23287
0,01716	9,23287
0,01718	0,48287
0,0172	5,98287
0,01722	13,23287
0,01724	13,35787
0,01726	17,98287
0,01728	11,73287
0,0173	11,10787
0,01732	10,10787
0,01734	9,85787
0,01736	8,35787
0,01738	16,10787
0,0174	17,23287
0,01742	10,60787
0,01744	8,98287
0,01746	6,98287
0,01748	18,85787
0,0175	22,98287
0,01752	25,35787
0,01754	23,73287
0,01756	28,85787
0,01758	19,85787
0,0176	11,73287
0,01762	8,35787
0,01764	1,48287
0,01766	1,73287
0,01768	-3,76713
0,0177	-3,51713
0,01772	-2,64213
0,01774	-0,01713
0,01776	-1,64213
0,01778	-6,64213
0,0178	-5,39213
0,01782	-11,14213
0,01784	-20,01713
0,01786	-21,01713
0,01788	-22,14213
0,0179	-25,89213
0,01792	-33,01713
0,01794	-36,39213
0,01796	-43,01713
0,01798	-50,26713
0,018	-46,26713
0,01802	-43,64213
0,01804	-31,89213
0,01806	-34,01713
0,01808	-30,89213
0,0181	-31,26713
0,01812	-35,01713
0,01814	-29,26713
0,01816	-32,64213
0,01818	-47,14213
0,0182	-37,01713
0,01822	-40,51713
0,01824	-31,39213
0,01826	-19,89213
0,01828	-12,76713
0,0183	-15,76713
0,01832	-12,89213
0,01834	-9,01713
0,01836	-12,51713
0,01838	-13,51713
0,0184	-23,14213
0,01842	-22,51713
0,01844	-28,51713
0,01846	-16,51713
0,01848	-20,01713
0,0185	-19,14213
0,01852	-21,26713
0,01854	-22,89213
0,01856	-20,14213
0,01858	-24,01713
0,0186	-26,89213
0,01862	-29,26713
0,01864	-31,64213
0,01866	-43,39213
0,01868	-36,64213
0,0187	-40,64213
0,01872	-31,26713
0,01874	-26,51713
0,01876	-22,89213
0,01878	-18,14213
0,0188	-12,51713
0,01882	-14,14213
0,01884	-16,89213
0,01886	-23,14213
0,01888	-20,51713
0,0189	-13,26713
0,01892	-5,39213
0,01894	0,23287
0,01896	-2,14213
0,01898	8,73287
0,019	15,73287
0,01902	19,10787
0,01904	13,10787
0,01906	11,85787
0,01908	14,60787
0,0191	11,10787
0,01912	8,60787
0,01914	3,35787
0,01916	9,48287
0,01918	22,10787
0,0192	20,73287
0,01922	27,23287
0,01924	34,85787
0,01926	29,23287
0,01928	24,85787
0,0193	21,35787
0,01932	22,73287
0,01934	23,23287
0,01936	17,23287
0,01938	22,48287
0,0194	19,60787
0,01942	9,10787
0,01944	13,48287
0,01946	16,60787
0,01948	17,35787
0,0195	18,23287
0,01952	16,98287
0,01954	15,10787
0,01956	11,48287
0,01958	3,60787
0,0196	-0,26713
0,01962	14,35787
0,01964	10,48287
0,01966	5,23287
0,01968	6,60787
0,0197	5,35787
0,01972	6,35787
0,01974	-2,89213
0,01976	0,48287
0,01978	1,73287
0,0198	-6,89213
0,01982	-6,14213
0,01984	-7,64213
0,01986	-1,14213
0,01988	-7,14213
0,0199	-11,26713
0,01992	-9,64213
0,01994	-14,89213
0,01996	-3,76713
0,01998	-7,76713
0,02	3,85787
0,02002	0,23287
0,02004	1,85787
0,02006	-4,39213
0,02008	-9,01713
0,0201	-11,64213
0,02012	-14,01713
0,02014	-8,01713
0,02016	-3,51713
0,02018	-3,89213
0,0202	-5,76713
0,02022	-8,89213
0,02024	-7,89213
0,02026	-0,64213
0,02028	-2,39213
0,0203	-19,64213
0,02032	-16,14213
0,02034	-16,01713
0,02036	-23,89213
0,02038	-23,01713
0,0204	-16,26713
0,02042	-13,26713
0,02044	-9,26713
0,02046	2,35787
0,02048	-3,39213
0,0205	3,73287
0,02052	4,48287
0,02054	1,48287
0,02056	10,35787
0,02058	14,35787
0,0206	12,23287
0,02062	8,35787
0,02064	17,48287
0,02066	31,98287
0,02068	22,48287
0,0207	31,10787
0,02072	24,60787
0,02074	31,73287
0,02076	44,48287
0,02078	33,85787
0,0208	31,23287
0,02082	27,60787
0,02084	27,23287
0,02086	19,85787
